Data perangkat;Unit;Merk;Tipe;S/N;Lokasi;Data Pemeliharaan;IP
Server ;1;Dell;PowerEdge R420;4WJBF22;Ruangan Sever;cth: reparasi tgl ...;10.10.11.80-81
Server ;1;Dell;PowerEdge R421;C2KBF22;Ruangan Sever;ganti hdd tgl ... Dll;10.10.11.90-91
;;;;;;;
Switch;1;hp;ProCurve E2530-24G;CN42FP7148;SW DMZ;;10.10.11.250
Switch;1;hp;ProCurve E2530-24G;CN49FP71NR;SW INTERNAL;;192.168.2.30
Switch;1;hp;ProCurve E2530-24G;CN48FP73Y5;SW CONVEYOR;;192.168.2.33
Switch;1;hp;ProCurve E2530-24G;CN48FP73DM;SW2 CONVEYOR;;192.168.2.34
Switch;1;hp;ProCurve E2530-24G;CN49FP704T;SW CORRIDOR;;192.168.2.36
Switch;1;hp;ProCurve E2530-24G;CN48FP7402;SW TICKETING;;192.168.2.38
Switch;1;hp;ProCurve E2530-24G;CN48FP73YS;SW SECURITY;;192.168.2.39
Switch;1;hp;ProCurve E2530-24G;CN48FP73YF;SW OFFICE;;192.168.2.150
Switch;1;hp;ProCurve E2530-24G;CN48FP741D;SW MONITOR ;;192.168.2.151
Switch;1;hp;ProCurve E2530-24G;CN48FP7446;SW FIDS AP;;192.168.2.152
Switch;1;hp;ProCurve E2530-24G;CN48FP741C;SW DC CONVEYOR;;192.168.2.153
Switch;1;hp;ProCurve E2530-24G;CN48FP7439;SW DC CORRIDOR;;192.168.2.154
;;;;;;;
Firewall 4-port;1;;FW 1;CBQAZP86G1;Ruang Server;;192.168.2.1
Firewall 4-port;1;;FW 2;CNPQAD89H1;Ruang Server;;
;;;;;;;
KVM;1;Rextron;DHKS-10 - Modul;GQ5602PE00001;Ruangan Server;;
KVM;1;Rextron;Monitor & keybord ;DS0002NL00001;Ruangan Server;;
UPS 3000VA;1;APC;SUA3000RMi2U;AS141030378;Ruangan Server;;
UPS 3000VA;1;APC;SUA3000RMi2U;AS141030384;Ruangan Server;;
;;;;;;;
PC;1;Dell;Optiplex 7010;2RZTQ12;Gate 1;;192.168.2.71
PC;1;Dell;Optiplex 7010;C381X02;Gate 2;;192.168.2.72
PC;1;Dell;Optiplex 7010;5YYTQ12;Gate 3;;192.168.2.73
PC;1;Dell;Optiplex 7010;377ZW02;Gate 4;;192.168.2.74
PC;1;Dell;Optiplex 7010;13ZTQ12;Gate 5;;192.168.2.75
PC;1;Dell;Optiplex 7010;7KZTQ12;CI 1;;192.168.2.41
PC;1;Dell;Optiplex 7010;8RZTQ12;CI 2;;192.168.2.42
PC;1;Dell;Optiplex 7010;277ZW02;CI 3;;192.168.2.43
PC;1;Dell;Optiplex 7010;3NZTQ12;CI 4;;192.168.2.44
PC;1;Dell;Optiplex 7010;63ZTQ12;CI 5;;192.168.2.45
PC;1;Dell;Optiplex 7010;61ZTQ12;CI 6;;192.168.2.46
PC;1;Dell;Optiplex 7010;DWYTQ12;CI 7;;192.168.2.47
PC;1;Dell;Optiplex 7010;C6ZTQ12;CI 8;;192.168.2.48
PC;1;Dell;Optiplex 7010;D8ZTQ12;CI 9;;192.168.2.49
PC;1;Dell;Optiplex 7010;6SZTQ12;CI 10;;192.168.2.50
PC;1;Dell;Optiplex 7010;2XYTQ12;CI 11;;192.168.2.51
PC;1;Dell;Optiplex 7010;25ZTQ12;CI 12;;192.168.2.52
PC;1;Dell;Optiplex 7010;67ZTQ12;CI 13;;192.168.2.53
PC;1;Dell;Optiplex 7010;972TQ12;CI 14;;192.168.2.54
PC;1;Dell;Optiplex 7010;53ZTQ12;CI 15;;192.168.2.55
PC;1;Dell;Optiplex 7010;G4ZTQ12;CI 16;;192.168.2.56
PC;1;Dell;Optiplex 7010;D1ZTQ12;CI 17;;192.168.2.57
PC;1;Dell;Optiplex 7010;D57ZW0Z;CI 18;;192.168.2.58
PC;1;Dell;Optiplex 7010;7LZTQ12;CI 19;;192.168.2.59
PC;1;Dell;Optiplex 7010;8781X02;CI 20;;192.168.2.60
PC;1;Dell;Optiplex 7010;44ZTQ12;CI 21;;192.168.2.61
PC;1;Dell;Optiplex 7010;7RZTQ12;CI 22;;192.168.2.62
PC;1;Dell;Optiplex 7010;8J7SQ12;CI 23;;192.168.2.63
PC;1;Dell;Optiplex 7010;6RZTQ12;CI 24;;192.168.2.64
PC;1;Dell;Optiplex 7010;65ZTQ12;CI 25;;192.168.2.65
PC;1;Dell;Optiplex 7010;FYYTQ12;CI 26;;192.168.2.66
PC;1;Dell;Optiplex 7010;BSZTQ12;PC Kantor;;192.168.2.135
PC;1;Dell;Optiplex 7010;4Q56X02;Kantor (spare);;
PC;1;Dell;Optiplex 7010;DSZTQ12;Kantor (spare);;
PC;1;Dell;Optiplex 7010;5S56X02;Kantor (spare);;
;;;;;;;
;;;;;;;
LCD;1;Dell;;0657PN6418044U1UTB;Gate 1;1;
LCD;1;Dell;;0657PNG418044U1V6B;Gate 2;2;
LCD;1;Dell;;0657PNG418044U1T3B;Gate 3;3;
LCD;1;Dell;;0657PNG418044U1GYB;Gate 4;4;
LCD;1;Dell;;0657PNG418044U1V3B;Gate 5;5;
LCD;1;Dell;;0657PNG418044UDYRZ;CI 1;6;
LCD;1;Dell;;0657PNG418044U1TYB;CI 2;7;
LCD;1;Dell;;0657PNG418044U1U4B;CI 3;8;
LCD;1;Dell;;0657PNG418044U1T7B;CI 4;9;
LCD;1;Dell;;0657PN6418044U1TAB;CI 5;10;
LCD;1;Dell;;0657PN6418044U1URB;CI 6;11;
LCD;1;Dell;;0657PN6418044U1T8B;CI 7;12;
LCD;1;Dell;;0657PN6418044U1SZB;CI 8;13;
LCD;1;Dell;;0657PN6418044U1HQB;CI 9;14;
LCD;1;Dell;;0X0T4K7287243M44VB;CI 10;15;
LCD;1;Dell;;0657PN6418044U15AB;CI 11;16;
LCD;1;Dell;;0657PN6418044U1V4B;CI 12;17;
LCD;1;Dell;;0657PNG418044U1U2B;CI 13;18;
LCD;1;Dell;;0657PNG418044U1SMB;CI 14;19;
LCD;1;Dell;;0657PNG418044U1UYB;CI 15;20;
LCD;1;Dell;;0657PNG418044U1U5B;CI 16;21;
LCD;1;Dell;;OXOT4K72872430CHPB;CI 17;22;
LCD;1;Dell;;0657PNG418044U1UNB;CI 18;23;
LCD;1;Dell;;0657PNG418044U1V5B;CI 19;24;
LCD;1;Dell;;0657PNG418044U1UWB;CI 20;25;
LCD;1;Dell;;0X0T4K72872430CHTB;CI 21;26;
LCD;1;Dell;;0X0T4K7287243MA48B;CI 22;27;
LCD;1;Dell;;0657PN6418044U1UDB;CI 23;28;
LCD;1;Dell;;0657PN6418044U1U8B;CI 24;29;
LCD;1;Dell;;0657PN6418044U1SNB;CI 25;30;
LCD;1;Dell;;0657PN6418044U1KJB;CI 26;31;
LCD;1;Dell;;0X0T4K7287243MAATB;PC Kantor;32;
LCD;1;Dell;;0657PN6418044U1UZB;Kantor (spare);33;
LCD;1;Dell;;0657PN6418044U1SNB;Kantor (spare);34;
LCD;1;Dell;;0657PN6418044U0PDB;Kantor (spare);35;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Thermal printer;1;Zebra;GC 420 D;53J140901470;CI 1;;
Thermal printer;1;Zebra;GC 420 D;53J142901279;CI 2;;
Thermal printer;1;Zebra;GC 420 D;53J140901455;CI 3;;
Thermal printer;1;Zebra;GC 420 D;53J142900954;CI 4;;
Thermal printer;1;Zebra;GC 420 D;53J142901258;CI 5;;
Thermal printer;1;Zebra;GC 420 D;53J140901457;CI 6;;
Thermal printer;1;Zebra;GC 420 D;53J141002251;CI 7;;
Thermal printer;1;Zebra;GC 420 D;53J140901466;CI 8;;
Thermal printer;1;Zebra;GC 420 D;53J142900952;CI 9;;
Thermal printer;1;Zebra;GC 420 D;53J140901444;CI 10;;
Thermal printer;1;Zebra;GC 420 D;53J140901436;CI 11;;
Thermal printer;1;Zebra;GC 420 D;53J142901267;CI 12;;
Thermal printer;1;Zebra;GC 420 D;53J143900596;CI 13;;
Thermal printer;1;Zebra;GC 420 D;53J142901214;CI 14;;
Thermal printer;1;Zebra;GC 420 D;53J142900950;CI 15;;
Thermal printer;1;Zebra;GC 420 D;53J143900596;CI 16;;
Thermal printer;1;Zebra;GC 420 D;53J140901378;CI 17;;
Thermal printer;1;Zebra;GC 420 D;53J141002252;CI 18;;
Thermal printer;1;Zebra;GC 420 D;53J142900981;CI 19;;
Thermal printer;1;Zebra;GC 420 D;53J142900976;CI 20;;
Thermal printer;1;Zebra;GC 420 D;53J142900972;CI 21;;
Thermal printer;1;Zebra;GC 420 D;53J142901264;CI 22;;
Thermal printer;1;Zebra;GC 420 D;53J142900978;CI 23;;
Thermal printer;1;Zebra;GC 420 D;53J140901486;CI 24;;
Thermal printer;1;Zebra;GC 420 D;53J141002269;CI 25;;
Thermal printer;1;Zebra;GC 420 D;53J141002276;CI 26;;
Thermal printer;1;Zebra;GC 420 D;53J142900932;Kantor (spare);;
Bagtag printer;1;Zebra;GC 420 D;53J143900573;CI 1;;
Bagtag printer;1;Zebra;GC 420 D;53J141002226;CI 2;;
Bagtag printer;1;Zebra;GC 420 D;53J142901273;CI 3;;
Bagtag printer;1;Zebra;GC 420 D;53J142900954;CI 4;;
Bagtag printer;1;Zebra;GC 420 D;53J149000616;Kantor (spare);;
Bagtag printer;1;Zebra;GC 420 D;53J143900625;Kantor (spare);;
Bagtag printer;1;Zebra;GC 420 D;53J143900597;CI 7;;
Bagtag printer;1;Zebra;GC 420 D;53J142900988;CI 8;;
Bagtag printer;1;Zebra;GC 420 D;53J142900956;CI 9;;
Bagtag printer;1;Zebra;GC 420 D;53J142901249;CI 10;;
Bagtag printer;1;Zebra;GC 420 D;53J142901255;CI 11;;
Bagtag printer;1;Zebra;GC 420 D;53J142901242;CI 12;;
Bagtag printer;1;Zebra;GC 420 D;53J143900596;CI 13;;
Bagtag printer;1;Zebra;GC 420 D;53J142901214;CI 14;;
Bagtag printer;1;Zebra;GC 420 D;53J142900950;CI 15;;
Bagtag printer;1;Zebra;GC 420 D;53J143900577;CI 16;;
Bagtag printer;1;Zebra;GC 420 D;53J142900927;CI 17;;
Bagtag printer;1;Zebra;GC 420 D;53J142900993;CI 18;;
Bagtag printer;1;Zebra;GC 420 D;53J142900981;CI 19;;
Bagtag printer;1;Zebra;GC 420 D;53J142900941;CI 20;;
Bagtag printer;1;Zebra;GC 420 D;53J142900972;CI 21;;
Bagtag printer;1;Zebra;GC 420 D;53J142900966;CI 22;;
Bagtag printer;1;Zebra;GC 420 D;53J142901240;CI 23;;
Bagtag printer;1;Zebra;GC 420 D;53J142900953;CI 24;;
Bagtag printer;1;Zebra;GC 420 D;53J142901277;CI 25;;
Bagtag printer;1;Zebra;GC 420 D;53J142900942;CI 26;;
Bagtag printer;1;Zebra;GC 420 D;53J142901239;Kantor (spare);;
UPS 1500VA;1;APC;BR1500GI;3B1417X00564;Gate 2;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02470;Gate 3;;
UPS 1500VA;1;APC;BR1500GI;3B1418X27202;Gate 4;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10815;Gate 5;;
UPS 1500VA;1;APC;BR1500GI;3B1425X20975;CI 1;;
UPS 1500VA;1;APC;BR1500GI;3B1418X27324;CI 2;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10827;CI 3;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10816;CI 4;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10810;CI 5;;
UPS 1500VA;1;APC;BR1500GI;3B1425X20967;CI 6;;
UPS 1500VA;1;APC;BR1500GI;3B1417X24309;CI 7;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02411;CI 8;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10794;CI 9;;
UPS 1500VA;1;APC;BR1500GI;3B1418X27222;CI 10;;
UPS 1500VA;1;APC;BR1500GI;3B1417X24105;CI 11;;
UPS 1500VA;1;APC;BR1500GI;3B1417X16250;CI 12;;
UPS 1500VA;1;APC;BR1500GI;3B1417X24070;CI 13;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02507;CI 14;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02429;CI 15;;
UPS 1500VA;1;APC;BR1500GI;3B1418X27193;CI 16;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02492;CI 17;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02531;CI 18;;
UPS 1500VA;1;APC;BR1500GI;3B1425X20922;CI 19;;
UPS 1500VA;1;APC;BR1500GI;3B1428X10809;CI 20;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02439;CI 21;;
UPS 1500VA;1;APC;BR1500GI;3B1405X26649;CI 22;;
UPS 1500VA;1;APC;BR1500GI;3B1424X02424;CI 23;;
UPS 1500VA;1;APC;BR1500GI;3B1425X20943;CI 24;;
UPS 1500VA;1;APC;BR1500GI;3B1417X24096;CI 25;;
UPS 1500VA;1;APC;BR1500GI;3B1417X24065;CI 26;;
UPS 1500VA;1;APC;BR1500GI;;;;
UPS 1500VA;1;APC;BR1500GI;;;;
UPS 1500VA;1;APC;BR1500GI;;;;
UPS 1500VA;1;APC;BR1500GI;;;;
UPS 1500VA;1;APC;BR1500GI;;;;
Printer manifest;1;Epson;LX-310;Q7FY144155;Gate 1;;
Printer manifest;1;Epson;LX-310;Q7FY150729;Gate 2;;
Printer manifest;1;Epson;LX-310;Q7FY152013;Gate 3;;
Printer manifest;1;Epson;LX-310;Q7FY150724;Gate 4;;
Printer manifest;1;Epson;LX-310;Q7FY151975;Gate 5;;
;;;;;;;
Scanner;1;Access;LSR-116;1444153211;Gate 2;;
Scanner;1;Access;LSR-117;1444153198;Gate 3;;
Scanner;1;Access;LSR-118;1444153207;Gate 4;;
Scanner;1;Access;LSR-119;1444153205;Gate 5;;
